

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;INCLUDEDBYMOEX;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;EVENINGSESSION;MORNINGSESSION;WAPRICE;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;REPLBOND;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
SU25085RMFS0;??? 25085;???-?? 25085 24/09/2025;???;RU000A103BQ2;25085RMFS;1;1000,0;RUB;15000000;1;0;TQOB;?+: ???????????? - ????????.;24.09.2025;;;;0;0;2;1;0;;;27.03.2024;6,400;31,91;81;101;182;30.06.2021;1000,0;;2021-09-22;False;647;;???????????? ???????? ?????????? ?????????;7710168360;1;90,92;923,58;868,17;978,99;858,93;988,23;849,69;997,47;6,0;1000000;7,0;5000000;8,0;5,00000;5,00000;0
SU26207RMFS9;??? 26207;???-?? 26207 03/02/27;???;RU000A0JS3W6;26207RMFS;1;1000,0;RUB;350000000;1;0;TQOB;?+: ???????????? - ????????.;03.02.2027;;;994;0;0;2;1;0;91,039;11,98;07.02.2024;8,150;40,64;130;52;182;22.02.2012;1000,0;;2012-02-22;False;1144;;???????????? ???????? ?????????? ?????????;7710168360;1;90,96;938,85;873,13;1004,57;863,74;1013,96;854,35;1023,35;7,0;1000000;8,0;5000000;9,0;7,00000;7,00000;0
SU26212RMFS9;??? 26212;???-?? 26212 19/01/28;???;RU000A0JTK38;26212RMFS;1;1000,0;RUB;358927588;1;0;TQOB;?+: ???????????? - ????????.;19.01.2028;;;1265;0;0;2;1;0;85,344;11,99;24.01.2024;7,050;35,15;144;38;182;23.01.2013;1000,0;;2013-01-23;False;1494;;???????????? ???????? ?????????? ?????????;7710168360;1;85,14;879,4;809,05;949,75;800,25;958,55;791,46;967,34;8,0;1000000;9,0;5000000;10,0;5,00000;8,00000;0
SU26218RMFS6;??? 26218;???-?? 26218 17/09/31;???;RU000A0JVW48;26218RMFS;1;1000,0;RUB;250000000;1;0;TQOB;?+: ???????????? - ????????.;17.09.2031;;;2007;0;0;2;1;0;82,854;12,3;27.03.2024;8,500;42,38;81;101;182;28.10.2015;1000,0;;2016-02-17;False;2831;;???????????? ???????? ?????????? ?????????;7710168360;1;82,8;847,09;753,91;940,27;745,44;948,74;736,97;957,21;11,0;1000000;12,0;5000000;13,0;5,00000;11,00000;0
SU26219RMFS4;??? 26219;???-?? 26219 16/09/26;???;RU000A0JWM07;26219RMFS;1;1000,0;RUB;350000000;1;0;TQOB;?+: ???????????? - ????????.;16.09.2026;;;900;0;0;2;1;0;91,026;11,99;20.03.2024;7,750;38,64;88;94;182;29.06.2016;1000,0;;2016-07-06;False;1004;;???????????? ???????? ?????????? ?????????;7710168360;1;91,05;929,4;864,34;994,46;855,05;1003,75;845,75;1013,05;7,0;1000000;8,0;5000000;9,0;7,00000;7,00000;0
SU26221RMFS0;??? 26221;???-?? 26221 23/03/33;???;RU000A0JXFM1;26221RMFS;1;1000,0;RUB;350000000;1;0;TQOB;?+: ???????????? - ????????.;23.03.2033;;;2289;0;0;2;1;0;76,515;12,31;03.04.2024;7,700;38,39;74;108;182;15.02.2017;1000,0;;2017-03-15;False;3384;;???????????? ???????? ?????????? ?????????;7710168360;1;76,54;781,22;703,1;859,34;695,29;867,15;687,47;874,97;10,0;1000000;11,0;5000000;12,0;5,00000;10,00000;0
SU26222RMFS8;??? 26222;???-?? 26222 16/10/24;???;RU000A0JXQF2;26222RMFS;1;1000,0;RUB;350000000;1;0;TQOB;?+: ???????????? - ????????.;16.10.2024;;;296;0;0;2;1;0;96,194;12,39;17.04.2024;7,100;35,4;60;122;182;03.05.2017;1000,0;;2017-05-03;False;304;;???????????? ???????? ?????????? ?????????;7710168360;1;96,15;973,36;924,69;1022,03;914,96;1031,76;905,22;1041,5;5,0;1000000;6,0;5000000;7,0;5,00000;5,00000;0
SU26223RMFS6;??? 26223;???-?? 26223 28/02/24;???;RU000A0ZYU88;26223RMFS;1;1000,0;RUB;339422797;1;0;TQOB;?+: ???????????? - ????????.;28.02.2024;;;72;0;0;2;1;0;98,446;15,17;28.02.2024;6,500;32,41;109;73;182;21.02.2018;1000,0;;2018-02-28;False;73;;???????????? ???????? ?????????? ?????????;7710168360;1;98,41;1003,69;973,58;1033,8;963,54;1043,84;953,51;1053,87;3,0;1000000;4,0;5000000;5,0;3,00000;3,00000;0
SU26224RMFS4;??? 26224;???-?? 26224 23/05/29;???;RU000A0ZYUA9;26224RMFS;1;1000,0;RUB;350000000;1;0;TQOB;?+: ???????????? - ????????.;23.05.2029;;;1639;0;0;2;1;0;80,356;12,27;29.05.2024;6,900;34,41;18;164;182;21.02.2018;1000,0;;2018-03-07;False;1984;;???????????? ???????? ?????????? ?????????;7710168360;1;80,4;807,59;726,83;888,35;718,76;896,42;710,68;904,5;10,0;1000000;11,0;5000000;12,0;5,00000;10,00000;0
SU26225RMFS1;??? 26225;???-?? 26225 10/05/34;???;RU000A0ZYUB7;26225RMFS;1;1000,0;RUB;350000000;1;0;TQOB;?+: ???????????? - ????????.;10.05.2034;;;2504;0;0;2;1;0;72,329;12,33;22.05.2024;7,250;36,15;25;157;182;21.02.2018;1000,0;;2018-02-28;False;3797;;???????????? ???????? ?????????? ?????????;7710168360;1;72,21;727,26;647,26;807,26;639,99;814,53;632,72;821,8;11,0;1000000;12,0;5000000;13,0;11,00000;5,00000;0
